basisOfRecord,brackish,catalogNumber,class,classid,collectionCode,country,date_end,date_mid,date_start,date_year,day,decimalLatitude,decimalLongitude,eventDate,family,familyid,genus,genusid,gigaclass,gigaclassid,infraphylum,infraphylumid,institutionCode,kingdom,kingdomid,locality,marine,month,order,orderid,parvphylum,parvphylumid,phylum,phylumid,scientificName,scientificNameID,species,speciesid,subfamily,subfamilyid,subphylum,subphylumid,superclass,superclassid,waterBody,year,id,dataset_id,node_id,dropped,absence,originalScientificName,aphiaID,flags,bathymetry,shoredistance,sst,sss,datasetID,depth,individualCount,materialSampleID,maximumDepthInMeters,minimumDepthInMeters,modified,occurrenceID,occurrenceRemarks,occurrenceStatus,scientificNameAuthorship,taxonRank,sex,category,associatedReferences,bibliographicCitation,coordinateUncertaintyInMeters,footprintWKT,specificEpithet,coordinatePrecision,verbatimCoordinates,vernacularName,dynamicProperties,identifiedBy,eventID,organismID,organismQuantity,organismQuantityType,continent,georeferenceRemarks,recordNumber,recordedBy,stateProvince
Occurrence,False,#1307366642963#0.49786699019511504,Teleostei,293496,DCR (IRD),,,,,,,2.350139,51.133472,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, SÃ¨te, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,000329ac-3b9b-4e96-873d-c073279caa84,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus obesus,127028,['NO_DEPTH'],5087.0,424012,27.66,35.36,https://marineinfo.org/id/dataset/3127,,,,,,2013-06-20 10:40:35,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366642963#0.49786699019511504:0xD0DBA70101000500",EME_1-fr.ird.observe.entities.TailleThon#1307366642963#0.49786699019511504,present,,,IND,VU,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,,,1004486400000.0,1004486400000.0,1004486400000.0,2001.0,,25.7833328247,-91.6000022888,2001-10-31T00:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,000339ac-2867-4102-a4a7-b861f37759ca,7aee17f1-d6e8-4204-a4b2-eafdf89563cf,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Thunnus albacares,127027,[],3171.0,369179,26.27,36.19,,1479.0,,,1658.0,1300.0,,,Haul: 10; Trip: P01072,,,,Female,,,,,,,5334.24,"slon: -91.5500030517578, elon: -91.6500015258789, slat: 25.7999992370605, elat: 25.7666664123535",,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,Logbook Program for Coastal Fisheries,,812592000000.0,812592000000.0,812592000000.0,1995.0,,40.0,-68.0,1995-10-02,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Northeast Coastal,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00033bef-99c5-432a-8555-04d7461d4eeb,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus alalunga,127026,[],2363.0,216650,17.2,34.77,SEFSC_LogBook,70.0,2,160152,70.0,70.0,2020-08-04,5c9cd408-d69e-11ea-a976-776999cfb07f,For Field Number 160152:Total fish caught 22; catch per unit effort (fish per hook) 0.044,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
Occurrence,True,#1307366727259#0.5522876461464971,Teleostei,293496,DCR (IRD),,,,,,,-5.033472,42.18347,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, SÃ¨te, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00033f04-7b48-4fdc-a396-4bf046caf055,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027,['NO_DEPTH'],3367.0,255646,27.67,35.22,https://marineinfo.org/id/dataset/3127,,,,,,2013-06-20 10:40:35,"urn:catalog:IRD, UMR EME, SÃ¨te, France:DCR (IRD):#1307366727259#0.5522876461464971:0x29EDA70101000500",EME_1-fr.ird.observe.entities.TailleThon#1307366727259#0.5522876461464971,present,,,IND,,,,,,,,,,,,,,,,,,,,
Occurrence,True,#1306921616046#0.8051933416189743,Teleostei,293496,TAAF (Iles Eparses),,,,,,,-13.550139,45.050137,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, SÃ¨te, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00039b2b-c692-4b7c-8e04-4cfa95267556,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027,['NO_DEPTH'],3530.0,61306,27.81,34.92,https://marineinfo.org/id/dataset/3127,,,,,,2013-06-20 10:40:35,"urn:catalog:IRD, UMR EME, SÃ¨te, France:TAAF (Iles Eparses):#1306921616046#0.8051933416189743:0xDD2FA80101000A00",EME_1-fr.ird.observe.entities.TailleThon#1306921616046#0.8051933416189743,present,,,IND,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,1027987200000.0,1027987200000.0,1027987200000.0,2002.0,,35.41,-74.85,2002-07-30,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Mid Atlantic Bight,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0003c461-18e9-48bd-8d5d-200a66268efb,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],304.0,57456,23.71,35.74,SEFSC_LogBook,22.0,1,252583,22.0,22.0,2020-08-04,521a189b-d69e-11ea-a976-776999cfb07f,For Field Number 252583:Total fish caught 3; catch per unit effort (fish per hook) 0.00857143,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,Logbook Program for Coastal Fisheries,,808012800000.0,808012800000.0,808012800000.0,1995.0,,40.28,-64.4,1995-08-10,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Northeast Coastal,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0003ed78-c200-4655-953c-b957e3e382ec,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus alalunga,127026,[],4598.0,360267,19.38,35.46,SEFSC_LogBook,72.0,6,156580,72.0,72.0,2020-08-04,5c8037de-d69e-11ea-a976-776999cfb07f,For Field Number 156580:Total fish caught 29; catch per unit effort (fish per hook) 0.02636364,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
Occurrence,True,#1306919434478#0.5613844092531871,Teleostei,293496,Patudo (IEO),,,,,,,-1.6334722,-3.3668058,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, SÃ¨te, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00040d7a-99d4-4e20-948b-f8f7ccacb475,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027,['NO_DEPTH'],5124.0,722643,25.99,35.58,https://marineinfo.org/id/dataset/3127,,,,,,2013-06-20 10:40:35,"urn:catalog:IRD, UMR EME, SÃ¨te, France:Patudo (IEO):#1306919434478#0.5613844092531871:0x6976A80101000500",EME_1-fr.ird.observe.entities.TailleThon#1306919434478#0.5613844092531871,present,,,IND,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,100501820050404,Teleostei,293496,TOPP,,1112572800000.0,1112572800000.0,1112572800000.0,2005.0,4,30.0,-62.0,2005-04-04T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,TOPP,Animalia,2,,True,4,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus orientalis,urn:lsid:marinespecies.org:taxname:273823,Thunnus orientalis,273823,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,2005,00041fe2-de39-4f2d-ae00-046633477d35,1004a490-c117-4712-9868-a8412420f4c8,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Thunnus orientalis,273823,['NO_DEPTH'],5047.0,362968,24.42,36.69,,,,,,,,,,,"(Temminck & Schlegel, 1844)",,U,,,,,,,56.0,,,,Barbara Block,,,,,,,,,
HumanObservation,False,,Teleostei,293496,IMOS_ATF_AD,Australia,1198108800000.0,1198108800000.0,1198108800000.0,2007.0,,-35.2,117.99,2007-12-20 04:00:00,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,IMOS,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus maccoyii,urn:lsid:marinespecies.org:taxname:219720,Thunnus maccoyii,219720,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00044cbc-8498-4dcc-918b-eaaa7ce32bb3,0820b10a-5710-4e90-b9ed-a2ad7c7ec742,['2a57cd59-6799-4579-955e-27c9af97aea4'],False,False,Thunnus maccoyii,219720,[],71.0,8603,19.36,35.58,,0.0,,,0.0,0.0,2022-01-18T00:11:00,19981092-release,Release of animal,present,,,UNKNOWN,EN,,Project: Bluefin tuna WA,100.0,POINT (117.99000 -35.20000),,100,,Southern Bluefin Tuna,,,A69-1303-7698,A69-1303-7698,1,individuals,,,,,
HumanObservation,False,MCM-LINE-366679,Teleostei,293496,LINE,South Africa,561772800000.0,561772800000.0,561772800000.0,1987.0,21,-29.9335002899,17.1173992157,1987-10-21T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,MCM,Animalia,2,Naganas Point,True,10,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,Atlantic,1987,000477ba-04a6-47f6-aed2-0a37559b6cfb,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus alalunga,127026,['NO_DEPTH'],6.0,118,14.42,35.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,1016409600000.0,1016409600000.0,1016409600000.0,2002.0,,28.58,-78.51,2002-03-18,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Florida East Coast,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00047f9b-2efe-476d-8156-8e6bde03edd4,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],930.0,145604,26.15,36.31,SEFSC_LogBook,105.0,1,248372,105.0,105.0,2020-08-04,52149c8c-d69e-11ea-a976-776999cfb07f,For Field Number 248372:Total fish caught 10; catch per unit effort (fish per hook) 0.02222222,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,MCM-LINE-292221,Teleostei,293496,LINE,South Africa,546307200000.0,546307200000.0,546307200000.0,1987.0,25,-34.0527992249,18.3549995422,1987-04-25T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,MCM,Animalia,2,Hout Bay,True,4,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,Atlantic,1987,0004d759-e119-412d-8657-da3272de84f5,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus albacares,127027,['NO_DEPTH'],2.0,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,838857600000.0,838857600000.0,838857600000.0,1996.0,,38.01,-70.76,1996-08-01,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Northeast Coastal,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00053e4a-d6d0-4efa-95c1-6cba39b15399,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],3508.0,347089,20.82,35.96,SEFSC_LogBook,10.0,1,174606,10.0,10.0,2020-08-04,5a6e63ee-d69e-11ea-a976-776999cfb07f,For Field Number 174606:Total fish caught 11; catch per unit effort (fish per hook) 0.01294118,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,MCM-LINE-2157559,Teleostei,293496,LINE,South Africa,927244800000.0,927244800000.0,927244800000.0,1999.0,21,-34.0527992249,18.3549995422,1999-05-21T12:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,MCM,Animalia,2,Hout Bay,True,5,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,Atlantic,1999,00055964-53a3-4181-a933-5b871922529b,fd13c964-0fb6-4ef4-ae89-e35fc88a9c77,['14fc439c-707d-41d6-a3d4-b9d2696205fe'],False,False,Thunnus alalunga,127026,['NO_DEPTH'],2.0,454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,,,737510400000.0,737510400000.0,737510400000.0,1993.0,,27.3333339691,-93.0583343506,1993-05-16T00:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0005b120-280c-42e1-8fde-d44d78f774a9,7aee17f1-d6e8-4204-a4b2-eafdf89563cf,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Thunnus albacares,127027,[],792.0,254072,25.75,36.07,,450.0,,,500.0,400.0,,,Haul: 5; Trip: P01,,,,Male,,,,,,,2467.64,"slon: -93.033332824707, elon: -93.0833358764648, slat: 27.3333339691162, elat: 27.3333339691162",,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,1085702400000.0,1085702400000.0,1085702400000.0,2004.0,,26.58,-91.41,2004-05-28,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Gulf of Mexico,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0005d9aa-1380-4245-82e0-c754c93f2e68,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],2380.0,278644,26.11,36.11,SEFSC_LogBook,0.0,3,271047,0.0,0.0,2020-08-04,50429f31-d69e-11ea-a976-776999cfb07f,For Field Number 271047:Total fish caught 10; catch per unit effort (fish per hook) 0.0125,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
Occurrence,True,#1306919353012#0.4702848657743073,Teleostei,293496,Patudo (IEO),,,,,,,10.433473,-24.833473,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, SÃ¨te, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00061879-5ae4-4b0a-b188-889a06bf5227,5ad4244f-895a-4b9c-99be-1f88f5369023,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027,['NO_DEPTH'],5278.0,486101,26.45,35.0,https://marineinfo.org/id/dataset/3127,,,,,,2013-06-20 10:40:35,"urn:catalog:IRD, UMR EME, SÃ¨te, France:Patudo (IEO):#1306919353012#0.4702848657743073:0x5740A80101000800",EME_1-fr.ird.observe.entities.TailleThon#1306919353012#0.4702848657743073,present,,,IND,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,866332800000.0,866332800000.0,866332800000.0,1997.0,,33.95,-75.11,1997-06-15,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,South Atlantic Bight,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00063829-da81-46cb-960b-4f01b6f2acd2,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],3305.0,145976,25.41,36.23,SEFSC_LogBook,20.0,4,188539,20.0,20.0,2020-08-04,5a454647-d69e-11ea-a976-776999cfb07f,For Field Number 188539:Total fish caught 43; catch per unit effort (fish per hook) 0.04777778,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,,,856828800000.0,856828800000.0,856828800000.0,1997.0,,2.83333325386,-42.9249992371,1997-02-25T00:00:00Z,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,,Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00067572-8a27-4e7d-90f1-46765c275c97,7aee17f1-d6e8-4204-a4b2-eafdf89563cf,['310922b4-9d0c-4de1-92d7-9b442d34765b'],False,False,Thunnus obesus,127028,[],4422.0,506923,27.8,35.85,,2100.0,,,2200.0,2000.0,,,Haul: 12; Trip: M12,,,,Male,VU,,,,,,12164.1,"slon: -43.033332824707, elon: -42.8166656494141, slat: 2.81666660308838, elat: 2.84999990463257",,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,Logbook Program for Coastal Fisheries,,889574400000.0,889574400000.0,889574400000.0,1998.0,,20.25,-73.61,1998-03-11,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Caribbean,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus alalunga,urn:lsid:marinespecies.org:taxname:127026,Thunnus alalunga,127026,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,000694a7-5e33-4ff6-a7da-c0c717b5a270,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus alalunga,127026,[],1587.0,49894,28.1,35.65,SEFSC_LogBook,22.0,75,200224,22.0,22.0,2020-08-04,568b7b35-d69e-11ea-a976-776999cfb07f,For Field Number 200224:Total fish caught 85; catch per unit effort (fish per hook) 0.09444444,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,838684800000.0,838684800000.0,838684800000.0,1996.0,,17.55,-69.35,1996-07-30,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Caribbean,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,000695d3-0ab8-467f-9cf3-dc859d668487,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],3727.0,90540,27.99,35.09,SEFSC_LogBook,270.0,1,174421,270.0,270.0,2020-08-04,5a86f94a-d69e-11ea-a976-776999cfb07f,For Field Number 174421:Total fish caught 22; catch per unit effort (fish per hook) 0.044,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,881971200000.0,881971200000.0,881971200000.0,1997.0,,26.83,-92.0,1997-12-13,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Gulf of Mexico,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0006c297-bf1a-4e8a-a349-0ee4f4cd1d7b,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],1635.0,268360,25.99,36.15,SEFSC_LogBook,125.0,11,197447,125.0,125.0,2020-08-04,59e2ef92-d69e-11ea-a976-776999cfb07f,For Field Number 197447:Total fish caught 16; catch per unit effort (fish per hook) 0.016,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,True,,Teleostei,293496,Logbook Program for Coastal Fisheries,,963964800000.0,963964800000.0,963964800000.0,2000.0,,26.11,-93.4,2000-07-19,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Gulf of Mexico,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0006ccb6-4b7e-47d1-b02e-ab50e32adc57,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus albacares,127027,[],3004.0,363880,26.09,36.17,SEFSC_LogBook,35.0,5,229790,35.0,35.0,2020-08-04,54ecadb1-d69e-11ea-a976-776999cfb07f,For Field Number 229790:Total fish caught 10; catch per unit effort (fish per hook) 0.01666667,present,"(Bonnaterre, 1788)",Species,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,Logbook Program for Coastal Fisheries,,861494400000.0,861494400000.0,861494400000.0,1997.0,,28.5,-77.68,1997-04-20,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,Florida East Coast,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0006d27b-bfa7-4f33-b021-7f35810597c1,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus obesus,127028,[],982.0,152694,25.9,36.39,SEFSC_LogBook,41.0,6,186344,41.0,41.0,2020-08-04,5b238298-d69e-11ea-a976-776999cfb07f,For Field Number 186344:Total fish caught 21; catch per unit effort (fish per hook) 0.05833333,present,"(Lowe, 1839)",Species,,VU,,,,,,,,,,,,,,,,,,,
Occurrence,True,EME_1-35715,Teleostei,293496,ll_YugNIRO,,,,,,,10.80483,46.167686666667,,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,"IRD, UMR EME, Sète, France",Animalia,2,,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus albacares,urn:lsid:marinespecies.org:taxname:127027,Thunnus albacares,127027,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,0006f81e-076c-44ad-bbc3-671b0554c9f7,f62024d7-1126-41a8-8dde-ff257d232c4d,['4bf79a01-65a9-4db6-b37b-18434f26ddfc'],False,False,Thunnus albacares,127027,['NO_DEPTH'],59.0,3243,28.45,36.4,https://marineinfo.org/id/dataset/3125,,,,,,2013-06-20 10:06:23,"urn:catalog:IRD, UMR EME, Sète, France:ll_YugNIRO:EME_1-35715",,present,,,,,,,,,,,,,,,,,,,,,,,
HumanObservation,False,,Teleostei,293496,Logbook Program for Coastal Fisheries,,798595200000.0,798595200000.0,798595200000.0,1995.0,,15.01,-50.6,1995-04-23,Scombridae,125559,Thunnus,126065,Actinopterygii,10194,Gnathostomata,1828,NOAA SEFSC,Animalia,2,North Central Atlantic,True,,Scombriformes,1517490,Osteichthyes,152352,Chordata,1821,Thunnus obesus,urn:lsid:marinespecies.org:taxname:127028,Thunnus obesus,127028,Scombrinae,267118,Vertebrata,146419,Actinopteri,843664,,,00072037-35b0-472a-a836-cd606c1d186a,0ca901d4-bdc3-4136-8a66-6028f4c3ba40,['b7c47783-a020-4173-b390-7b57c4fa1426'],False,False,Thunnus obesus,127028,[],4346.0,973423,27.06,35.81,SEFSC_LogBook,190.0,1,149842,190.0,190.0,2020-08-04,5dd6ea55-d69e-11ea-a976-776999cfb07f,For Field Number 149842:Total fish caught 31; catch per unit effort (fish per hook) 0.03875,present,"(Lowe, 1839)",Species,,VU,,,,,,,,,,,,,,,,,,,
