scientificName,species,genus,family,decimalLatitude,decimalLongitude,eventDate,depth,sst,sss,individualCount
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-34.0527992249,18.3549995422,1989-11-24T12:00:00Z,,,,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-9.82156666666669,59.9557,,,27.61,34.8,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,9.950139,-18.033472,,,27.07,35.21,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,37.73,-74.15,1995-10-03,72.0,17.63,34.75,3.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-34.3568992615,18.4972000122,1998-04-16T12:00:00Z,,17.19,35.43,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,6.75,-39.2583332062,1999-03-03T00:00:00Z,2100.0,27.79,35.22,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,2.350139,51.133472,,,27.66,35.36,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,25.7833328247,-91.6000022888,2001-10-31T00:00:00Z,1479.0,26.27,36.19,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,40.0,-68.0,1995-10-02,70.0,17.2,34.77,2.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-5.033472,42.18347,,,27.67,35.22,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-13.550139,45.050137,,,27.81,34.92,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,35.41,-74.85,2002-07-30,22.0,23.71,35.74,1.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,40.28,-64.4,1995-08-10,72.0,19.38,35.46,6.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-1.6334722,-3.3668058,,,25.99,35.58,
Thunnus orientalis,Thunnus orientalis,Thunnus,Scombridae,30.0,-62.0,2005-04-04T12:00:00Z,,24.42,36.69,
Thunnus maccoyii,Thunnus maccoyii,Thunnus,Scombridae,-35.2,117.99,2007-12-20 04:00:00,0.0,19.36,35.58,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-29.9335002899,17.1173992157,1987-10-21T12:00:00Z,,14.42,35.08,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,28.58,-78.51,2002-03-18,105.0,26.15,36.31,1.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-34.0527992249,18.3549995422,1987-04-25T12:00:00Z,,,,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,38.01,-70.76,1996-08-01,10.0,20.82,35.96,1.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-34.0527992249,18.3549995422,1999-05-21T12:00:00Z,,,,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,27.3333339691,-93.0583343506,1993-05-16T00:00:00Z,450.0,25.75,36.07,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,26.58,-91.41,2004-05-28,0.0,26.11,36.11,3.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,10.433473,-24.833473,,,26.45,35.0,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,33.95,-75.11,1997-06-15,20.0,25.41,36.23,4.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,2.83333325386,-42.9249992371,1997-02-25T00:00:00Z,2100.0,27.8,35.85,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,20.25,-73.61,1998-03-11,22.0,28.1,35.65,75.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,17.55,-69.35,1996-07-30,270.0,27.99,35.09,1.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,26.83,-92.0,1997-12-13,125.0,25.99,36.15,11.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,26.11,-93.4,2000-07-19,35.0,26.09,36.17,5.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,28.5,-77.68,1997-04-20,41.0,25.9,36.39,6.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,10.80483,46.167686666667,,,28.45,36.4,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,15.01,-50.6,1995-04-23,190.0,27.06,35.81,1.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,28.61,-77.91,1997-11-05,42.0,25.9,36.38,3.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,27.58,-94.15,2005-06-01,40.0,25.6,35.98,8.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,30.88,-78.5,1996-10-23,18.0,26.15,36.22,7.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,38.53,-68.21,1998-07-10,12.0,20.71,35.88,3.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-24.25,154.25,2000,,24.86,35.36,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-1.3186666666667,49.8383333333329,,,27.89,35.37,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-29.2493000031,16.8686008453,2003-04-18T12:00:00Z,,,,
Thunnus orientalis,Thunnus orientalis,Thunnus,Scombridae,30.0,-62.0,2003-10-04T12:00:00Z,,24.42,36.69,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-34.0527992249,18.3549995422,2003-11-09T12:00:00Z,,,,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,32.66,-77.5,1999-01-26,22.0,25.66,36.14,4.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-5.783472,62.450138,,,28.45,34.98,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-18.916805,39.90014,,,27.15,35.06,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,27.66,-66.78,1992-01-19,120.0,25.57,36.65,1.0
Thunnus atlanticus,Thunnus atlanticus,Thunnus,Scombridae,26.8,-92.66,1994-08-02,150.0,25.93,36.17,3.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-29.2493000031,16.8686008453,1987-02-01T12:00:00Z,,,,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,26.23,-90.2,2003-05-18,42.0,26.32,36.05,4.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,27.41,-91.83,2005-11-11,38.0,25.84,36.0,5.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,-1.7168056,53.350136,,,28.32,35.38,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,3.4668057,-6.2668056,,,27.97,34.55,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,27.25,-94.43,1995-08-07,175.0,25.76,36.09,5.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,4.0,175.0,1956/1981,0.0,28.84,34.77,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,37.94808333,-24.79125,2011-06-27,,18.98,36.22,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,26.86,-92.21,1998-05-30,42.0,25.95,36.16,4.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-29.9335002899,17.1173992157,1990-01-16T12:00:00Z,,14.42,35.08,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-0.33347222,-15.533473,,,26.08,35.85,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,-10.466805,42.950138,,,27.5,34.99,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,36.68,-74.65,1995-11-18,132.0,18.71,34.88,18.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,46.5,-40.5,1997-08-01,12.0,15.49,35.22,2.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,39.98,-68.93,2000-08-21,15.0,16.04,34.13,1.0
Thunnus atlanticus,Thunnus atlanticus,Thunnus,Scombridae,31.81,-79.25,1995-04-12,120.0,25.73,36.15,2.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-34.3568992615,18.4972000122,2000-03-17T12:00:00Z,,17.19,35.43,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,34.1166667938,-75.5833320618,2001-04-06T00:00:00Z,1300.0,25.62,36.18,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,35.53,-74.78,2000-11-15,15.0,22.88,35.73,2.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,38.0,-72.0,1993-08-18,120.0,20.04,35.82,4.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,9.250139,-21.333473,,,27.02,35.05,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,38.32696667,-29.5233,2004-07-09,,19.22,36.24,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,26.23,-93.06,1999-07-20,45.0,26.1,36.18,17.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,40.38,-67.41,1992-08-06,70.0,15.17,33.86,2.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,4.25,59.82,2005-08-31/2005-08-31,,28.95,35.54,54.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,37.35,-73.75,2000-06-12,13.0,19.05,35.47,15.0
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,6.300139,-22.60014,,,27.79,34.86,
Thunnus obesus,Thunnus obesus,Thunnus,Scombridae,-16.83,42.33,2010-04-01/2010-04-01,,27.6,34.97,37.0
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,26.86,-91.75,2003-06-03,28.0,25.99,36.12,40.0
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-36.838433333333,52.1509,,,17.67,35.48,
Thunnus albacares,Thunnus albacares,Thunnus,Scombridae,-0.10013889,3.500139,,,27.08,34.52,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-34.0527992249,18.3549995422,1993-02-28T12:00:00Z,,,,
Thunnus alalunga,Thunnus alalunga,Thunnus,Scombridae,-33.4255981445,18.0886001587,1997-03-31T12:00:00Z,,15.57,33.7,
